"SPECIES","SITE_ID","estimate","std.error","urb_variable","Best_Model","urb_trend","WIn","HSI","FMo_Average","range.size","temp.mean","temp.max","temp.sd","genzname","code_urban","urban_names","bms_id","country_code","Country.Name"
"Aglais io","ES-CTBMS.86",-0.0350258848094746,0.0770551157525956,"sum_2000m","exponential",0.0045643465701108,0.061,"0.236",7.5,1136,8.84,17.56,2.91,"G. Cold and mesic",11,"VERY LOW DENSITY RURAL","ES-CTBMS","ESP","Spain"
"Aglais io","ES-CTBMS.87",0.0717295239639983,0.0176526931909985,"sum_2000m","exponential",0.0065491452713605,0.061,"0.236",7.5,1136,8.84,17.56,2.91,"K. Warm temperate and mesic",11,"VERY LOW DENSITY RURAL","ES-CTBMS","ESP","Spain"
"Aglais io","ES-CTBMS.88",0.21740390286817,0.188113108751668,"sum_2000m","exponential",0.0128308321576228,0.061,"0.236",7.5,1136,8.84,17.56,2.91,"K. Warm temperate and mesic",11,"VERY LOW DENSITY RURAL","ES-CTBMS","ESP","Spain"
"Aglais io","ES-CTBMS.9",0.0412979349559549,0.0339162169308192,"sum_2000m","exponential",0.0113423729593803,0.061,"0.236",7.5,1136,8.84,17.56,2.91,"K. Warm temperate and mesic",11,"VERY LOW DENSITY RURAL","ES-CTBMS","ESP","Spain"
"Aglais io","ES-CTBMS.90",0.0285299347688393,0.0333390265939508,"sum_2000m","exponential",0.0153770748896981,0.061,"0.236",7.5,1136,8.84,17.56,2.91,"J. Cool temperate and moist",11,"VERY LOW DENSITY RURAL","ES-CTBMS","ESP","Spain"
"Aglais io","ES-CTBMS.92",-0.114007967804745,0.0779733437984404,"sum_2000m","exponential",0.0377091888097491,0.061,"0.236",7.5,1136,8.84,17.56,2.91,"J. Cool temperate and moist",12,"LOW DENSITY RURAL","ES-CTBMS","ESP","Spain"
"Aglais io","ES-CTBMS.96",-0.0913524040601869,0.0553550874214873,"sum_2000m","exponential",0.0161790933352591,0.061,"0.236",7.5,1136,8.84,17.56,2.91,"J. Cool temperate and moist",21,"SUBURBAN OR PERI-URBAN","ES-CTBMS","ESP","Spain"
"Aglais io","ES-ZEBMS.ZER_BASQUE_10",0.657338365095425,0.158497503845281,"sum_2000m","exponential",0.00736385740059847,0.061,"0.236",7.5,1136,8.84,17.56,2.91,"J. Cool temperate and moist",11,"VERY LOW DENSITY RURAL","ES-ZEBMS","ESP","Spain"
"Aglais io","ES-ZEBMS.ZER_BASQUE_16",0.282845651990861,0.142725891558972,"sum_2000m","exponential",0.00265251560124042,0.061,"0.236",7.5,1136,8.84,17.56,2.91,"K. Warm temperate and mesic",11,"VERY LOW DENSITY RURAL","ES-ZEBMS","ESP","Spain"
"Aglais io","ES-ZEBMS.ZER_BASQUE_2",0.180232970363602,0.370365827040823,"sum_2000m","exponential",0.0124724996061551,0.061,"0.236",7.5,1136,8.84,17.56,2.91,"K. Warm temperate and mesic",11,"VERY LOW DENSITY RURAL","ES-ZEBMS","ESP","Spain"
