"SPECIES","SITE_ID","bms_id","M_YEAR","TOTAL_NM","SINDEX","GEO_REGION","RCLIM","M_YEAR_scaled","SINDEX_scaled","code_urban","urban_names","country_code","Country.Name","urban_type","pop_ID","urb_variable","Best_Model","urb_trend","WIn","HSI","FMo_Average","range.size","temp.mean","temp.max","temp.sd"
"Aglais io","FIBMS.107","FIBMS",2008,0.51029,49.2799649564694,"R4","G. Cold and mesic",-0.474819743729757,0.0947267391464012,11,"VERY LOW DENSITY RURAL","FIN","Finland","rural","Aglais io_FIBMS.107","sum_2000m","exponential",0.0174458328366747,0.061,0.236,7.5,1136,8.84,17.56,2.91
"Aglais io","FIBMS.107","FIBMS",2014,0.54236,10.5820105820106,"R4","G. Cold and mesic",0.387243383929897,-0.376095570831471,11,"VERY LOW DENSITY RURAL","FIN","Finland","rural","Aglais io_FIBMS.107","sum_2000m","exponential",0.0174458328366747,0.061,0.236,7.5,1136,8.84,17.56,2.91
"Aglais io","FIBMS.107","FIBMS",2004,0.78712,98.7367111207293,"R4","G. Cold and mesic",-1.04952849550286,0.696446903673102,11,"VERY LOW DENSITY RURAL","FIN","Finland","rural","Aglais io_FIBMS.107","sum_2000m","exponential",0.0174458328366747,0.061,0.236,7.5,1136,8.84,17.56,2.91
"Aglais io","UKBMS.153","UKBMS",2009,0.658190000000001,16.9292876676651,"R3","J. Cool temperate and moist",-0.331142555786481,-0.298870825806967,11,"VERY LOW DENSITY RURAL","GBR","United Kingdom of Great Britain and Northern Ireland","rural","Aglais io_UKBMS.153","sum_2000m","exponential",0.0230002576967363,0.061,0.236,7.5,1136,8.84,17.56,2.91
"Aglais io","UKBMS.153","UKBMS",2016,0.72057,3.89291878073784,"R3","J. Cool temperate and moist",0.674597759816448,-0.457479036816637,11,"VERY LOW DENSITY RURAL","GBR","United Kingdom of Great Britain and Northern Ireland","rural","Aglais io_UKBMS.153","sum_2000m","exponential",0.0230002576967363,0.061,0.236,7.5,1136,8.84,17.56,2.91
"Aglais io","UKBMS.153","UKBMS",2006,0.67398,20.5782487910279,"R3","J. Cool temperate and moist",-0.762174119616308,-0.254475396309664,11,"VERY LOW DENSITY RURAL","GBR","United Kingdom of Great Britain and Northern Ireland","rural","Aglais io_UKBMS.153","sum_2000m","exponential",0.0230002576967363,0.061,0.236,7.5,1136,8.84,17.56,2.91
"Aglais io","UKBMS.153","UKBMS",2019,0.940909999999999,12.7399354509937,"R3","J. Cool temperate and moist",1.10562932364627,-0.349840974484024,11,"VERY LOW DENSITY RURAL","GBR","United Kingdom of Great Britain and Northern Ireland","rural","Aglais io_UKBMS.153","sum_2000m","exponential",0.0230002576967363,0.061,0.236,7.5,1136,8.84,17.56,2.91
"Aglais io","UKBMS.153","UKBMS",2008,0.78455,32.4075185443023,"R3","J. Cool temperate and moist",-0.474819743729757,-0.110553470703592,11,"VERY LOW DENSITY RURAL","GBR","United Kingdom of Great Britain and Northern Ireland","rural","Aglais io_UKBMS.153","sum_2000m","exponential",0.0230002576967363,0.061,0.236,7.5,1136,8.84,17.56,2.91
"Aglais io","UKBMS.153","UKBMS",2007,0.844300000000001,27.8408837810147,"R3","J. Cool temperate and moist",-0.618496931673033,-0.166113863050724,11,"VERY LOW DENSITY RURAL","GBR","United Kingdom of Great Britain and Northern Ireland","rural","Aglais io_UKBMS.153","sum_2000m","exponential",0.0230002576967363,0.061,0.236,7.5,1136,8.84,17.56,2.91
"Aglais io","UKBMS.153","UKBMS",2015,0.669860000000001,5.75109270761445,"R3","J. Cool temperate and moist",0.530920571873172,-0.434871388564043,11,"VERY LOW DENSITY RURAL","GBR","United Kingdom of Great Britain and Northern Ireland","rural","Aglais io_UKBMS.153","sum_2000m","exponential",0.0230002576967363,0.061,0.236,7.5,1136,8.84,17.56,2.91
